Municipality,Municipal Court,Municipal Website,Municipal Court Website,Court Docket Time/Place Listed?,Court Clerk Phone Number Listed on Muni Site?,Info obtained from:,Online Payment System Provider,Mention of Dress Code?,Fine Schedule Listed?,Municipal Codes Listed?,Order Seen Stated?,Directions to Court Listed?,,,,,,,,,,,
Bridgeton,X,http://www.bridgetonmo.com,http://www.bridgetonmo.com/departments/municipal-court,yes,not listed,state website,iPayCourt,,yes,,,yes,,,,,,,,,,,
Calverton Park,X,http://www.calvertonparkmo.com,http://www.calvertonparkmo.com/village-court/,not listed,not listed,state website,Ncourt (no link from city website),,,,,no,,,,,,,,,,,
Champ,NONE,,,,,,,,,,,,,,,,,,,,,,
Charlack,X,http://www.cityofcharlack.com,http://www.cityofcharlack.com/#!municipal-court/c1g4i,yes; no year listed,not listed,state website,IPG (The Payment Group),,yes,,,no,,,,,,,,,,,
Chesterfield,X,http://www.chesterfield-mo.us,http://www.chesterfield.mo.us/municipal-court.html,not listed,636.537.4717,,IPG (The Payment Group),yes,,,"Court order is either alphabetical, reverse-alphabetical, or sign-in order",yes; explanation of link to Mapquest,,,,,,,,,,,
Clarkson Valley,X,http://www.clarksonvalley.org/,http://www.clarksonvalley.org/traffic.html,yes,636.277.8607 (ask for Court Clerk),,iPayCourt,,yes,,,yes,,,,,,,,,,,
Clayton,X,http://www.claytonmo.gov/,http://www.claytonmo.gov/Government/Municipal_Court.htm?,not listed,not listed,,iPayCourt,,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
Cool Valley,X,http://www.cityofcoolvalley.com/,http://www.cityofcoolvalley.com/index.php/departments/municipal-court,not listed,not listed,,IPG (The Payment Group) (No link),,,http://www.ecode360.com/CO3274,,no,,,,,,,,,,,
Country Club Hills,X,none,none,not listed,not listed,state website,N/A,,,,,no,,,,,,,,,,,
Country Life Acres,NONE (StLCo),,,,,,,,,,,,,,,,,,,,,,
Crestwood,X,http://www.cityofcrestwood.org/,http://www.cityofcrestwood.org/department/index.php?structureid=19,yes; under events,314.729.4776,,iPayCourt,,yes,,,no,,,,,,,,,,,
Creve Coeur,X,http://www.creve-coeur.org/,http://www.creve-coeur.org/index.aspx?nid=101,not listed,314.432.8844,,IPG (The Payment Group),yes,,,"Court order is first come, first served",no,,,,,,,,,,,
Crystal Lake Park,Frontenac,http://www.crystallakepark.org/,none,,,,,,,,,,,,,,,,,,,,
Dellwood,X,http://www.cityofdellwoodmo.com/,http://www.cityofdellwoodmo.com/563/Municipal-Court,yes,314.521.4339 x104,,Ncourt,yes,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
Des Peres,X,http://www.desperesmo.org/,http://www.desperesmo.org/Index.aspx?NID=96,yes,314.835.6119,,Ncourt,yes,yes,,,yes,,,,,,,,,,,
Edmundson,X,http://www.cityofedmundson.com/,http://www.cityofedmundson.com/index.php?option=com_content&view=article&id=7&Itemid=115,not listed,not listed,state website,Ncourt,,,,,no,,,,,,,,,,,
Ellisville,X,http://www.ellisville.mo.us/,http://www.ellisville.mo.us/165/Municipal-Court,not listed,not listed,,N/A,yes,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
Eureka,X,http://www.eureka.mo.us/,http://www.eureka.mo.us/departments/municipal-court/,not listed,not listed,state website,iPayCourt,,yes,http://www.eureka.mo.us/government/municipal-code-amendments-2/,,no,,,,,,,,,,,
Fenton,X,http://fentonmo.org/,http://fentonmo.org/index.aspx?nid=563,yes,not listed,,IPG (The Payment Group),,yes,http://ecode360.com/FE3298,,yes,,,,,,,,,,,
Ferguson,X,http://www.fergusoncity.com/,http://www.fergusoncity.com/60/The-City-Of-Ferguson-Municipal-Courts," ""click here to see court dates"" at bottom of main page doesn't link to the calendar page",not listed,,IPG (The Payment Group),,,https://www.municode.com/library/mo/ferguson,,no,,,,,,,,,,,
Flordell Hills,X,http://flordell.com/,none,not listed,not listed,st. louis county website,N/A,,,,,no,,,,,,,,,,,
Florissant,X,http://www.florissantmo.com/,http://www.florissantmo.com/department/index.php?structureid=19,not listed,314.921.3322,,iPayCourt,,,,,no,,,,,,,,,,,
Frontenac,X,http://www.cityoffrontenac.org/,http://www.cityoffrontenac.org/index.php?id=56,yes,not listed,Also Municipal Court for Crystal Lake Park,IPG (The Payment Group),,yes,http://ecode360.com/FR3306,"Court schedule is first come, first served",Website has link to Google Maps for directions ,,,,,,,,,,,
Glen Echo Park,Normandy,,,,,,,,,,,,,,,,,,,,,,
Glendale,X,http://www.glendalemo.org/,http://www.glendalemo.org/index.php?option=com_content&view=article&id=11&Itemid=18,not listed,not listed,,iPayCourt,,,,,no,,,,,,,,,,,
Grantwood Village,X,http://www.grantwoodvillage.org/,none,not listed,not listed,"Court name, judge name, address & phone of court all from State",N/A,,,,,no,,,,,,,,,,,
Greendale,X,http://www.greendale-mo.us/,none,not listed,not listed,"Court name, judge name, address & phone of court all from State",Ncourt (no link from city website),,,http://www.greendale-mo.us/government/codes,,no,,,,,,,,,,,
Green Park,NONE (StLCo),http://cityofgreenpark.com/,"Address of Green Park City Hall is 11100 Mueller Road, Suite 6, 62123 - Phone number is 314.894.7336",,,,,,,http://cityofgreenpark.com/city-code/,,,,,,,,,,,,,
Hanley Hills,X,N/A (St. Louis County dead links to http://www.villageofhanleyhills.com),none,not listed,not listed,"Court clerk name, judge name, address & phone  number of court from State",iPayCourt (No link),,,,,no,,,,,,,,,,,
Hazelwood,X,http://www.hazelwoodmo.org/,http://www.hazelwoodmo.org/city-government/departments/courts,not listed,not listed,Court clerk name from State,iPayCourt,,,,,no,,,,,,,,,,,
Hillsdale,X,none,none,not listed,not listed,Judge & clerks' names and court's address and phone number from State,N/A,,,,,no,,,,,,,,,,,
Huntleigh,NONE (StLCo),http://www.huntleigh.org/,,,,,,,,,,,,,,,,,,,,,
Jennings,X,http://www.cityofjennings.org/,http://www.cityofjennings.org/court.html,not listed,314.385.4670,,N/A,,yes,,,no,,,,,,,,,,,
Kinloch,X,none,none,not listed,not listed,Address and phone number of court and names of court clerk and judge from State,N/A,,,,,no,,,,,,,,,,,
Kirkwood,X,http://www.kirkwoodmo.org/,http://www.kirkwoodmo.org/content/City-Departments/2040/municipal-court.aspx,yes,not listed,Court clerk name and number from State,iPayCourt,,yes,,,no,,,,,,,,,,,
Ladue,X,http://www.cityofladue-mo.gov/,http://www.cityofladue-mo.gov/departments/municipal-court-196,not listed,not listed,,iPayCourt,yes,,https://www.municode.com/library/mo/ladue/codes/code_of_ordinances,,yes,,,,,,,,,,,
Lakeshire,X,http://www.lakeshiremo.com/,http://www.lakeshiremo.com/court-procedures/,not listed,314.631.6222 x6,,N/A,,,,,no,,,,,,,,,,,
Mackenzie,X,none,none,not listed,not listed,,N/A,,,,,no,,,,,,,,,,,
Manchester,X,http://www.manchestermo.gov/,http://www.manchestermo.gov/index.asp?SEC=0BE94A96-7F3E-4567-A282-BB5616082CA4&Type=B_BASIC,not listed,not listed,Court clerk phone and email on website staff directory,Municipal Online Payments (Tyler Tech.),yes,,,,no,,,,,,,,,,,
Maplewood,X,http://www.cityofmaplewood.com/,http://www.cityofmaplewood.com/index.aspx?nid=66,yes,not listed,,iPayCourt,yes,yes,https://www.municode.com/library/mo/maplewood/codes/code_of_ordinances,,no,,,,,,,,,,,
Marlborough,X,http://www.villageofmarlborough.com/Pages/default.aspx,http://www.villageofmarlborough.com/Pages/MunicipalCourt.aspx,not listed,not listed,,nCourt,,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
Maryland Heights,X,http://www.marylandheights.com/,http://www.marylandheights.com/index.aspx?page=78,yes,314.291.6036,City website also has email: court@marylandheights.com,nCourt,,yes,,,yes,,,,,,,,,,,
Moline Acres,X,http://www.molineacres.org/,http://www.molineacres.org/Courts.aspx,not listed,not listed,Names of court clerk and judge from State,nCourt (had outdated names of Court Admin and Judge),,,,,no,,,,,,,,,,,
Normandy,X,http://www.cityofnormandy.gov/,http://www.cityofnormandy.gov/index.aspx?nid=563,not listed,314.385.3300 x3014,,nCourt,,,,,no,,,,,,,,,,,
Northwoods,X,http://www.cityofnorthwoods.com/,none,not listed,not listed,Court clerk phone number from State,nCourt (link is very hard to find on website,,,http://ecode360.com/NO3379,,no,,,,,,,,,,,
Norwood Court,NONE (StLCo),,,,,,,,,,,,,,,,,,,,,,
Oakland,X,http://www.oaklandmo.org/,http://www.oaklandmo.org/municipal-court.aspx,not listed,314.842.0778,,N/A,,,,,no,,,,,,,,,,,
Olivette,X,http://www.olivettemo.com/,http://www.olivettemo.com/pView.aspx?id=2037&catid=29,not listed,314.991.6047,,iPayCourt,,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
Overland,X,http://www.overlandmo.org/,http://www.overlandmo.org/58/Overland-Municipal-Court,"Court dates are listed on city calendar, not separate place on Municipal Court page",314.428.1224,,nCourt,,yes,,,no,,,,,,,,,,,
Pacific,X,http://www.pacificmissouri.com/,none,not listed,636.257.4553,Judge and court clerk name from State,iPayCourt (No link from city website),,,,,no,,,,,,,,,,,
Pagedale,X,http://www.cityofpagedale.com/,http://www.cityofpagedale.com/#!municipal-court/cme6,not listed,314.726.1200,Judge's name from StLCo website,N/A,,,,,no,,,,,,,,,,,
Pasadena Hills,X,http://www.pasadenahills.com/,none,not listed,314.382.4453,Court Clerk and Judge from State,nCourt (not linked anywhere on website),,,,,no,,,,,,,,,,,
Pasadena Park,X,N/A (St. Louis County dead-links to http://www.villageofpasadenapark.us/),none,not listed,314.385.4115,"Court clerk's address is PO Box 5696, 63121 (City website)",nCourt,,,,,no,,,,,,,,,,,
Pine Lawn,X,http://www.pinelawn.org/,http://www.pinelawn.org/#!court/c78g,not listed,not listed,Court clerk & judge's names and number from State,nCourt,,,,,no,,,,,,,,,,,
Richmond Heights,X,http://www.richmondheights.org/,http://www.richmondheights.org/departments/court/index.php,Dates of Municipal Court are only on City Calendar not on individual Municipal Court page,314.645.1982,,iPayCourt,,yes,,,no,,,,,,,,,,,
Riverview,X,http://www.riverviewmo.org/,http://www.riverviewmo.org/Courts.aspx,"City website says to check city calendar for updated dates and times of Court, but calendar is blank",not listed,Court clerk & judge's names and number from State,iPayCourt (No link from city website),,,,,no,,,,,,,,,,,
Rock Hill,X,http://www.rockhillmo.net/,http://www.rockhillmo.net/Courts.aspx,"Website has no docket, just dates of court listed on city calendar",314.962.6265,Court clerk name from State,iPayCourt,,,,,yes,,,,,,,,,,,
Shrewsbury,X,http://www.cityofshrewsbury.com/,http://www.cityofshrewsbury.com/municipal-courts.htm,not listed,314.647.8634 x5,,IPG (The Payment Group),,,,Court order is alphabetical by last name,no,,,,,,,,,,,
St. Ann,X,http://www.stannmo.org/,http://www.stannmo.org/369/Municipal-Court,not listed,314.428.6811 x6,Court; judges' names from State,nCourt,yes,,,,no,,,,,,,,,,,
St. John,X,http://www.cityofstjohn.org/,http://www.cityofstjohn.org/index.php/municipal-court.html,yes,not listed,"Court clerk's name, number, and email from City directory; judge from state",nCourt,,yes,,,no,,,,,,,,,,,
Sunset Hills,X,http://www.sunset-hills.com/,http://www.sunset-hills.com/148/Municipal-Court,not listed,not listed,,N/A,yes,,,,no,,,,,,,,,,,
Sycamore Hills,X,http://www.villageofsycamorehills.com/,none,not listed,314.427.8700 x6,"Acc. To St. John website and State, SycaHills MuniCt is staffed by St. John",N/A,,,,,no,,,,,,,,,,,
Town and Country,X,http://www.town-and-country.org/,http://www.town-and-country.org/150/Municipal-Court,yes,314.587.2832,,IPG (The Payment Group),,yes,,,no,,,,,,,,,,,
Twin Oaks,NONE (StLCo),,,,,,,,,,,,,,,,,,,,,,
University City,X,http://www.ucitymo.org/,http://www.ucitymo.org/index.aspx?nid=82,yes,314.505.8540,,iPayCourt,,yes,,"Court order is first come, first serve",no,,,,,,,,,,,
Uplands Park,X,N/A (St. Louis County dead-links to http://www.uplandsparkmo.org/),https://uplandsparkmissouri.wordpress.com/municipal-court/ (Not updated since 2012),not listed,not listed,Court clerk's name from State; judge's name from City website,nCourt (Not linked anywhere on website),,,,,no,,,,,,,,,,,
Valley Park,X,http://www.valleyparkmo.org/,Currently N/A (Redoing city website),not listed,not listed,Court clerk name and number from State,iPayCourt,,,http://www.ecode360.com/VA3458,,no,,,,,,,,,,,
Velda City,X,http://www.veldacity.org/,http://www.veldacity.org/departments/municipal-court,not listed,not listed,Court clerk name and number from State,nCourt (can only pay cash bonds) & iPayCourt,,,,,no,,,,,,,,,,,
Velda Village Hills,X,none,none,not listed,not listed,Court clerk & judge's names and number from State,nCourt (No city website so no link),,,,,no,,,,,,,,,,,
Vinita Park,X,http://www.vinitapark.org/ (Not linked from StLCo),http://www.vinitapark.org/index.php/city-departments/court-information,yes,314.428.7373 (StLCo has 7733),,nCourt & iPayCourt,,,,,no,,,,,,,,,,,
Vinita Terrace,X,none,none,not listed,not listed,Court clerk & judge's names and number from State,N/A,,,,,no,,,,,,,,,,,
Warson Woods,X,http://www.warsonwoods.com/,http://www.warsonwoods.com/Templates/Warson%20Woods%20City%20Hall%203.5%20(Court%20Page).html,not listed,314.965.3100,,N/A,,,,,no,,,,,,,,,,,
Webster Groves,X,http://www.webstergroves.org/,http://www.webstergroves.org/index.aspx?nid=239,not listed,314.963.5416,Court clerk from State,IPG (The Payment Group),,yes,,,no,,,,,,,,,,,
Wellston,X,none,none,not listed,not listed,Court clerk name and phone number and judge name from State,nCourt (No city website so no link),,,,,no,,,,,,,,,,,
Westwood,NONE (StLCo),,,,,,,,,,,,,,,,,,,,,,
Wilbur Park,NONE (StLCo),Formerly had an individual municipal court,,,,,,,,,,,,,,,,,,,,,
Wildwood,X,http://www.cityofwildwood.com/,http://www.cityofwildwood.com/135/Municipal-Court,yes,636.458.8277,City website also has email: wildwoodcourt@cityofwildwood.com,IPG (The Payment Group) (Link is very hard to find),,yes,,,no,,,,,,,,,,,
Winchester,X,http://www.city.winchester.mo.us/,http://www.city.winchester.mo.us/Municipal-Court/,not listed,636.391.0600,Judge's name from State website,N/A,,yes,,,no,,,,,,,,,,,
Woodson Terrace,X,http://woodsonterrace.net/,http://woodsonterrace.net/City-Clerk/Municipal-Court-Information-Online-Payment-Link/,not listed,not listed,Court clerk & judges' names and number from State,iPayCourt,,,,,no,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Unincorporated St. Louis County,X,http://www.stlouisco.com,http://www.stlouisco.com/LawandPublicSafety/MunicipalCourts,yes; from 2011,not listed,Court clerk phone number and email from StLCo Staff Directory,Municipal Online Payments (Tyler Tech.),,,,,no,,,,,,,,,,,
